entry_ts,exit_ts,entry_px,exit_px,ret
2025-06-09T16:00:00,2025-06-09T18:00:00,204.776410836792,202.31641685843766,-0.012013073030735733
2025-06-24T16:00:00,2025-06-30T20:00:00,201.35038028411864,205.81533184568465,0.022175034163162133
2025-07-01T16:00:00,2025-07-07T14:00:00,209.972976663208,215.95025567250144,0.028466896570604305
2025-07-07T16:00:00,2025-07-07T19:00:00,212.00358444213867,209.27200716706457,-0.012884580618115038
2025-07-08T16:00:00,2025-07-09T15:00:00,211.09341462249756,208.41138916385987,-0.012705396155697324
2025-07-10T16:00:00,2025-07-11T14:00:00,212.84383277893065,210.41625757714996,-0.011405428901020032
2025-07-21T16:00:00,2025-07-29T18:00:00,213.17393361053465,211.15757789995516,-0.00945873482948123
2025-08-07T16:00:00,2025-08-07T18:00:00,219.24574667358397,215.8883704520787,-0.015313301500456289
2025-08-08T16:00:00,2025-08-08T18:00:00,223.36699305267334,230.52373760721485,0.03204029591271729
2025-08-11T16:00:00,2025-08-13T15:00:00,226.32787250518797,233.888089827198,0.03340382798780883
2025-08-13T16:00:00,2025-08-15T18:00:00,233.00988444213866,229.83151877705296,-0.013640475693531995
