ts,symbol,open,high,low,close,volume,rsi14,ema12,ema26,enter,enter_at
2025-05-28 16:00:00+02:00,AAPL,200.67999267578125,202.72999572753906,199.89999389648438,200.14999389648438,8567641,,,,False,False
2025-05-28 17:00:00+02:00,AAPL,200.16000366210938,201.0500030517578,200.02000427246094,200.85000610351562,6035556,,,,False,False
2025-05-28 18:00:00+02:00,AAPL,200.851806640625,201.30999755859375,200.77999877929688,201.19439697265625,3447539,,,,False,False
2025-05-28 19:00:00+02:00,AAPL,201.19000244140625,201.35000610351562,200.8249969482422,201.09500122070312,2542164,,,,False,False
2025-05-28 20:00:00+02:00,AAPL,201.08999633789062,201.52000427246094,200.72999572753906,201.08990478515625,2831207,,,,False,False
2025-05-28 21:00:00+02:00,AAPL,201.0850067138672,201.25,200.32000732421875,201.1053009033203,2775304,,,,False,False
2025-05-28 22:00:00+02:00,AAPL,201.10499572753906,201.52110290527344,200.19500732421875,200.4199981689453,6454718,,,,False,False
2025-05-29 16:00:00+02:00,AAPL,203.27000427246094,203.77999877929688,201.0,201.44000244140625,10351019,,,,False,False
2025-05-29 17:00:00+02:00,AAPL,201.30499267578125,201.64999389648438,200.75999450683594,201.27999877929688,5849734,,,,False,False
2025-05-29 18:00:00+02:00,AAPL,201.2550048828125,201.3350067138672,198.50999450683594,198.88999938964844,6189703,,,,False,False
2025-05-29 19:00:00+02:00,AAPL,198.8699951171875,200.44960021972656,198.8300018310547,200.21499633789062,4228968,,,,False,False
2025-05-29 20:00:00+02:00,AAPL,200.19000244140625,200.32000732421875,199.05999755859375,199.4445037841797,4023432,,200.32924879952662,,False,False
2025-05-29 21:00:00+02:00,AAPL,199.44000244140625,199.77000427246094,198.77000427246094,199.0399932861328,3921436,,200.13090179746604,,False,False
2025-05-29 22:00:00+02:00,AAPL,199.0399932861328,200.2480010986328,198.57000732421875,199.9499969482422,8345574,,200.10307028220083,,False,False
2025-05-30 16:00:00+02:00,AAPL,199.40499877929688,199.57000732421875,197.97000122070312,198.6699981689453,6829463,58.85098257996201,199.8825976493923,,False,False
2025-05-30 17:00:00+02:00,AAPL,198.69500732421875,199.48500061035156,198.69500732421875,199.36500549316406,4250833,61.52954334441726,199.80296808689565,,False,False
2025-05-30 18:00:00+02:00,AAPL,199.3778076171875,199.44000244140625,198.61000061035156,198.63619995117188,2889560,57.316204153179754,199.6234652967843,,False,False
2025-05-30 19:00:00+02:00,AAPL,198.6649932861328,198.99000549316406,196.77999877929688,197.7100067138672,5606675,52.40497837608516,199.32908705325858,,False,False
2025-05-30 20:00:00+02:00,AAPL,197.72000122070312,198.47000122070312,197.64999389648438,198.2949981689453,2952531,55.026205254266344,199.1699964556719,,False,False
2025-05-30 21:00:00+02:00,AAPL,198.2899932861328,199.61000061035156,198.17999267578125,199.52999877929688,4004208,60.030820046498505,199.22538142853728,,False,False
2025-05-30 22:00:00+02:00,AAPL,199.54139709472656,201.9499969482422,199.44000244140625,200.66000366210938,14626773,63.98037482897661,199.44609254139453,,False,False
2025-06-02 16:00:00+02:00,AAPL,201.625,202.1300048828125,200.27000427246094,200.32000732421875,6771963,61.99537356352798,199.58054096952134,,False,False
2025-06-02 17:00:00+02:00,AAPL,200.3000030517578,201.99000549316406,200.1199951171875,201.57000732421875,5328055,66.15307827864936,199.88661271639785,,False,False
2025-06-02 18:00:00+02:00,AAPL,201.5500030517578,201.64999389648438,200.3000030517578,200.94000244140625,3724555,62.4451246307596,200.04867267409145,,False,False
2025-06-02 19:00:00+02:00,AAPL,200.95399475097656,201.16799926757812,200.57000732421875,200.99159240722656,2387529,62.62984515146204,200.19373724841992,,False,False
2025-06-02 20:00:00+02:00,AAPL,200.99000549316406,201.1199951171875,200.58009338378906,200.83999633789062,2407944,61.66993693861181,200.2931617237231,200.12543539826962,False,False
2025-06-02 21:00:00+02:00,AAPL,200.85000610351562,201.52999877929688,200.6300048828125,201.25999450683594,2679996,63.34608683941339,200.44190522881738,200.209476813719,False,False
2025-06-02 22:00:00+02:00,AAPL,201.25540161132812,201.80990600585938,201.13999938964844,201.8000030517578,5411705,65.43875614627846,200.6508433554236,200.32729357209226,False,False
2025-06-03 16:00:00+02:00,AAPL,202.13499450683594,203.24000549316406,200.9550018310547,202.75,7921612,68.81218439488642,200.9737905315123,200.50675330749283,False,False
2025-06-03 17:00:00+02:00,AAPL,202.7449951171875,202.91000366210938,201.52020263671875,202.22999572753906,5239160,65.06831199480831,201.16705286936258,200.63440089416292,True,False
2025-06-03 18:00:00+02:00,AAPL,202.24000549316406,203.33999633789062,202.05999755859375,202.9501953125,4322341,67.69023610254547,201.4413824759991,200.80594122144714,False,True
2025-06-03 19:00:00+02:00,AAPL,202.9550018310547,203.74000549316406,202.58999633789062,202.98500061035156,4241418,67.81596012660938,201.6788621889764,200.96735302803265,False,False
2025-06-03 20:00:00+02:00,AAPL,202.98849487304688,203.77000427246094,202.6999969482422,203.00100708007812,3465458,67.87786484894258,201.88226909529973,201.1179940689249,False,False
2025-06-03 21:00:00+02:00,AAPL,202.99000549316406,203.4398956298828,202.5,203.15499877929688,2795591,68.50549591755724,202.07807366206853,201.26888330673023,False,False
2025-06-03 22:00:00+02:00,AAPL,203.16000366210938,203.4698944091797,202.97999572753906,203.33999633789062,5472857,69.28200451759695,202.272215612195,201.4222990868162,False,False
2025-06-04 16:00:00+02:00,AAPL,203.4499969482422,205.66000366210938,202.6508026123047,205.51499938964844,8554026,76.58991274844831,202.77110542411089,201.7254620722112,False,False
2025-06-04 17:00:00+02:00,AAPL,205.50999450683594,206.24000549316406,203.99009704589844,204.39999389648438,6807424,67.69831346785219,203.0217036506299,201.9235755406759,True,False
