entry_ts,exit_ts,entry_px,exit_px,ret
2025-06-06T16:00:00,2025-06-10T14:00:00,471.9315455474853,468.33574002469544,-0.007619337076987254
2025-06-11T16:00:00,2025-06-11T18:00:00,475.33255944213863,472.02295828158367,-0.0069627066246822356
2025-06-12T16:00:00,2025-06-13T19:00:00,477.3822769561767,473.72171844080066,-0.007667981598973528
2025-06-16T16:00:00,2025-06-17T14:00:00,479.67046931152345,476.00335677199445,-0.007645066298937353
2025-06-18T16:00:00,2025-06-23T14:00:00,479.41377001037597,475.7745208017992,-0.007591040216675449
2025-06-24T16:00:00,2025-06-27T16:00:00,490.1756951293945,498.313211847288,0.01660122441555445
2025-06-30T16:00:00,2025-07-01T16:00:00,496.8890122314453,493.4254040658926,-0.0069705871538559006
2025-07-03T16:00:00,2025-07-07T19:00:00,499.1992143615723,495.42566922269987,-0.007559196870328466
2025-07-09T16:00:00,2025-07-10T15:00:00,501.9455519317627,497.8791351064149,-0.008101310609682666
2025-07-11T16:00:00,2025-07-17T14:00:00,502.560726663208,509.27650695411234,0.013363121976311731
2025-07-17T16:00:00,2025-07-18T17:00:00,511.93853916320796,508.5650278762918,-0.006589680262068853
2025-07-21T16:00:00,2025-07-22T14:00:00,510.78319388427735,507.4735079200208,-0.00647962972134597
2025-07-24T16:00:00,2025-07-25T18:00:00,510.3930622314453,517.0319562355531,0.013007414276131612
2025-07-31T16:00:00,2025-08-01T14:00:00,536.0341751098632,528.5557864186608,-0.013951328177293387
2025-08-04T16:00:00,2025-08-05T20:00:00,534.2802311157226,527.4955176355197,-0.01269879191680845
2025-08-13T16:00:00,2025-08-13T17:00:00,529.7087917358398,525.4049783849237,-0.008124866753320581
