entry_ts,exit_ts,entry_px,exit_px,ret
2025-06-10T09:30:00,2025-06-12T07:30:00,266.2798722106933,264.1809560717235,-0.007882368733109102
2025-06-30T09:30:00,2025-06-30T14:30:00,267.6802861053467,265.0608042079046,-0.009785860346888553
2025-07-02T09:30:00,2025-07-03T15:30:00,269.8809277893066,267.1533459413067,-0.010106612091274836
2025-07-09T09:30:00,2025-07-09T13:30:00,268.18043610534664,272.6938343590657,0.01682970733907707
2025-07-10T09:30:00,2025-07-14T07:30:00,274.4823138946533,271.9917457119988,-0.009073692753881368
2025-07-15T09:30:00,2025-07-16T07:30:00,272.4817138946533,270.473795939779,-0.007369000753021493
2025-07-23T09:30:00,2025-07-28T07:30:00,282.48471389465334,289.99593058144353,0.026589816430178104
2025-07-28T09:30:00,2025-07-28T14:30:00,287.78632221069336,284.1229110492403,-0.012729622218706438
2025-08-08T09:30:00,2025-08-14T08:30:00,288.1864361053467,293.0329680022952,0.01681734908292798
2025-08-14T09:30:00,2025-08-18T09:30:00,292.88782778930664,290.9221589389396,-0.006711336777645349
2025-08-20T09:30:00,2025-08-21T12:30:00,295.6886861053467,293.5694647828454,-0.007167069360733858
