ts,equity
2025-05-27 09:30:00+02:00,1.0
2025-05-27 10:30:00+02:00,1.0
2025-05-27 11:30:00+02:00,1.0
2025-05-27 12:30:00+02:00,1.0
2025-05-27 13:30:00+02:00,1.0
2025-05-27 14:30:00+02:00,1.0
2025-05-27 15:30:00+02:00,1.0
2025-05-27 16:30:00+02:00,1.0
2025-05-27 17:30:00+02:00,1.0
2025-05-28 09:30:00+02:00,1.0
2025-05-28 10:30:00+02:00,1.0
2025-05-28 11:30:00+02:00,1.0
2025-05-28 12:30:00+02:00,1.0
2025-05-28 13:30:00+02:00,1.0
2025-05-30 09:30:00+02:00,1.0
2025-05-30 10:30:00+02:00,1.0
2025-05-30 11:30:00+02:00,1.0
2025-05-30 12:30:00+02:00,1.0
2025-05-30 13:30:00+02:00,1.0
2025-05-30 14:30:00+02:00,1.0
2025-05-30 15:30:00+02:00,1.0
2025-05-30 16:30:00+02:00,1.0
2025-05-30 17:30:00+02:00,1.0
2025-06-02 09:30:00+02:00,1.0
2025-06-02 10:30:00+02:00,1.0
2025-06-02 11:30:00+02:00,1.0
2025-06-02 12:30:00+02:00,1.0
2025-06-02 13:30:00+02:00,1.0
2025-06-02 14:30:00+02:00,1.0
2025-06-02 15:30:00+02:00,1.0
2025-06-02 16:30:00+02:00,1.0
2025-06-02 17:30:00+02:00,1.0
2025-06-03 09:30:00+02:00,1.0
2025-06-03 10:30:00+02:00,1.0
2025-06-03 11:30:00+02:00,1.0
2025-06-03 12:30:00+02:00,1.0
2025-06-03 13:30:00+02:00,1.0
2025-06-03 14:30:00+02:00,1.0
2025-06-03 15:30:00+02:00,1.0
2025-06-03 16:30:00+02:00,1.0
2025-06-03 17:30:00+02:00,1.0
2025-06-04 09:30:00+02:00,1.0
2025-06-04 10:30:00+02:00,1.0
2025-06-04 11:30:00+02:00,1.0
2025-06-04 12:30:00+02:00,1.0
2025-06-04 13:30:00+02:00,1.0
2025-06-04 14:30:00+02:00,1.0
2025-06-04 15:30:00+02:00,1.0
2025-06-04 16:30:00+02:00,1.0
2025-06-04 17:30:00+02:00,1.0
2025-06-05 09:30:00+02:00,1.0
2025-06-05 10:30:00+02:00,1.0
2025-06-05 11:30:00+02:00,1.0
2025-06-05 12:30:00+02:00,1.0
2025-06-05 13:30:00+02:00,1.0
2025-06-09 09:30:00+02:00,1.0
2025-06-09 10:30:00+02:00,1.0
2025-06-09 11:30:00+02:00,1.0
2025-06-09 12:30:00+02:00,1.0
2025-06-09 13:30:00+02:00,1.0
2025-06-09 14:30:00+02:00,1.0
2025-06-09 15:30:00+02:00,1.0
2025-06-09 16:30:00+02:00,1.0
2025-06-09 17:30:00+02:00,1.0
2025-06-10 09:30:00+02:00,1.0
2025-06-10 10:30:00+02:00,1.0
2025-06-10 11:30:00+02:00,1.0
2025-06-10 12:30:00+02:00,1.0
2025-06-10 13:30:00+02:00,1.0
2025-06-10 14:30:00+02:00,1.0
2025-06-10 15:30:00+02:00,1.0
2025-06-10 16:30:00+02:00,1.0
2025-06-10 17:30:00+02:00,1.0
2025-06-11 09:30:00+02:00,1.0
2025-06-11 10:30:00+02:00,1.0
2025-06-11 11:30:00+02:00,1.0
2025-06-11 12:30:00+02:00,1.0
2025-06-11 13:30:00+02:00,1.0
2025-06-11 14:30:00+02:00,1.0
2025-06-11 15:30:00+02:00,1.0
2025-06-11 16:30:00+02:00,1.0
2025-06-11 17:30:00+02:00,1.0
2025-06-12 09:30:00+02:00,0.9921176312668909
2025-06-12 10:30:00+02:00,0.9921176312668909
2025-06-12 11:30:00+02:00,0.9921176312668909
2025-06-12 12:30:00+02:00,0.9921176312668909
2025-06-12 13:30:00+02:00,0.9921176312668909
2025-06-12 14:30:00+02:00,0.9921176312668909
2025-06-12 15:30:00+02:00,0.9921176312668909
2025-06-12 16:30:00+02:00,0.9921176312668909
2025-06-12 17:30:00+02:00,0.9921176312668909
2025-06-13 09:30:00+02:00,0.9921176312668909
2025-06-13 10:30:00+02:00,0.9921176312668909
2025-06-13 11:30:00+02:00,0.9921176312668909
2025-06-13 12:30:00+02:00,0.9921176312668909
2025-06-13 13:30:00+02:00,0.9921176312668909
2025-06-13 14:30:00+02:00,0.9921176312668909
2025-06-13 15:30:00+02:00,0.9921176312668909
2025-06-13 16:30:00+02:00,0.9921176312668909
2025-06-13 17:30:00+02:00,0.9921176312668909
2025-06-16 09:30:00+02:00,0.9921176312668909
2025-06-16 10:30:00+02:00,0.9921176312668909
2025-06-16 11:30:00+02:00,0.9921176312668909
2025-06-16 12:30:00+02:00,0.9921176312668909
2025-06-16 13:30:00+02:00,0.9921176312668909
2025-06-16 14:30:00+02:00,0.9921176312668909
2025-06-16 15:30:00+02:00,0.9921176312668909
2025-06-16 16:30:00+02:00,0.9921176312668909
2025-06-16 17:30:00+02:00,0.9921176312668909
2025-06-17 09:30:00+02:00,0.9921176312668909
2025-06-17 10:30:00+02:00,0.9921176312668909
2025-06-17 11:30:00+02:00,0.9921176312668909
2025-06-17 12:30:00+02:00,0.9921176312668909
2025-06-17 13:30:00+02:00,0.9921176312668909
2025-06-17 14:30:00+02:00,0.9921176312668909
2025-06-17 15:30:00+02:00,0.9921176312668909
2025-06-17 16:30:00+02:00,0.9921176312668909
2025-06-17 17:30:00+02:00,0.9921176312668909
2025-06-18 09:30:00+02:00,0.9921176312668909
2025-06-18 10:30:00+02:00,0.9921176312668909
2025-06-18 11:30:00+02:00,0.9921176312668909
2025-06-18 12:30:00+02:00,0.9921176312668909
2025-06-18 13:30:00+02:00,0.9921176312668909
2025-06-18 14:30:00+02:00,0.9921176312668909
2025-06-18 15:30:00+02:00,0.9921176312668909
2025-06-18 16:30:00+02:00,0.9921176312668909
2025-06-18 17:30:00+02:00,0.9921176312668909
2025-06-19 09:30:00+02:00,0.9921176312668909
2025-06-19 10:30:00+02:00,0.9921176312668909
2025-06-19 11:30:00+02:00,0.9921176312668909
2025-06-19 12:30:00+02:00,0.9921176312668909
2025-06-19 13:30:00+02:00,0.9921176312668909
2025-06-23 09:30:00+02:00,0.9921176312668909
2025-06-23 10:30:00+02:00,0.9921176312668909
2025-06-23 11:30:00+02:00,0.9921176312668909
2025-06-23 12:30:00+02:00,0.9921176312668909
2025-06-23 13:30:00+02:00,0.9921176312668909
2025-06-23 14:30:00+02:00,0.9921176312668909
2025-06-23 15:30:00+02:00,0.9921176312668909
2025-06-23 16:30:00+02:00,0.9921176312668909
2025-06-23 17:30:00+02:00,0.9921176312668909
2025-06-24 09:30:00+02:00,0.9921176312668909
2025-06-24 10:30:00+02:00,0.9921176312668909
2025-06-24 11:30:00+02:00,0.9921176312668909
2025-06-24 12:30:00+02:00,0.9921176312668909
2025-06-24 13:30:00+02:00,0.9921176312668909
2025-06-24 14:30:00+02:00,0.9921176312668909
2025-06-24 15:30:00+02:00,0.9921176312668909
2025-06-24 16:30:00+02:00,0.9921176312668909
2025-06-24 17:30:00+02:00,0.9921176312668909
2025-06-25 09:30:00+02:00,0.9921176312668909
2025-06-25 10:30:00+02:00,0.9921176312668909
2025-06-25 11:30:00+02:00,0.9921176312668909
2025-06-25 12:30:00+02:00,0.9921176312668909
2025-06-25 13:30:00+02:00,0.9921176312668909
2025-06-25 14:30:00+02:00,0.9921176312668909
2025-06-25 15:30:00+02:00,0.9921176312668909
