entry_ts,exit_ts,entry_px,exit_px,ret
2025-06-05T09:30:00,2025-06-09T07:30:00,556.5669444213867,552.0127263892153,-0.008182695860434075
2025-06-09T09:30:00,2025-06-10T07:30:00,554.7663555786132,550.5732741544274,-0.007558283558512735
2025-06-10T09:30:00,2025-06-11T11:30:00,554.9664277893066,550.703237612353,-0.007681888423297978
2025-06-13T09:30:00,2025-06-23T07:30:00,558.3674722106933,552.2251088245432,-0.011000575233781507
2025-06-30T09:30:00,2025-07-01T09:30:00,567.7702555786133,562.2190875920865,-0.00977713772777622
2025-07-02T09:30:00,2025-07-07T07:30:00,565.5696444213867,560.4775924486781,-0.009003403953757094
2025-07-10T09:30:00,2025-07-11T07:30:00,574.3722722106934,569.6773954070652,-0.008173926616544591
2025-07-15T09:30:00,2025-07-16T15:30:00,580.9742277893066,576.3078426655017,-0.0080320002172235
2025-07-17T09:30:00,2025-07-18T07:30:00,611.9835277893067,632.0857294034151,0.03284761876961695
2025-07-18T09:30:00,2025-07-22T08:30:00,635.1904999999999,625.4335976642794,-0.015360592350988411
2025-07-23T09:30:00,2025-07-24T07:30:00,628.5885444213867,641.4254834682813,0.020421846947132893
2025-07-24T09:30:00,2025-07-24T13:30:00,646.7939555786132,640.0921488672678,-0.010361579067865723
2025-07-28T09:30:00,2025-07-28T11:30:00,641.3923722106933,635.769470073183,-0.008766711892955303
2025-07-29T09:30:00,2025-07-29T15:30:00,638.3914722106933,633.2344585926696,-0.008078136758571386
2025-07-31T09:30:00,2025-08-01T07:30:00,648.9946277893066,642.4539977953486,-0.01007809574054186
2025-08-12T09:30:00,2025-08-18T10:30:00,639.3917722106934,634.654509545141,-0.007409014115357437
2025-08-20T09:30:00,2025-08-20T15:30:00,641.7924555786133,637.5304956831055,-0.006640713611482552
